id,population,under_5,5_17,18_24,25_34,35_44,45_54,55_64,65_74,75_84,over_85,under_18,over_65
3521.01,1654,68,55,363,688,238,109,90,32,9,2,123,43
3521.02,2277,87,84,289,639,300,266,271,166,125,50,171,341
3522,1849,67,118,167,477,225,198,215,175,150,57,185,382
3523,3450,213,180,423,1346,562,320,213,101,61,31,393,193
3524,2126,178,386,289,432,292,242,177,84,35,11,564,130
3525,2894,119,293,432,975,388,286,237,102,43,19,412,164
3526,2378,107,219,345,793,296,224,184,104,78,28,326,210
3527,2057,93,241,265,515,285,241,204,107,80,26,334,213
3528,2115,93,170,290,685,292,224,197,99,46,19,263,164
3529,2646,127,150,210,899,420,267,339,150,61,23,277,234
3530,3584,164,221,366,1249,463,324,339,268,137,53,385,458
3531.01,2460,83,139,782,854,252,152,120,51,19,8,222,78
3531.02,5040,50,59,3494,1213,118,25,39,21,12,9,109,42
3532,4897,186,252,1141,1730,573,342,374,183,95,21,438,299
3533,3471,168,296,317,1062,525,409,398,181,85,30,464,296
3534,2848,199,321,327,799,428,308,261,129,51,25,520,205
3535,2602,127,205,296,831,314,265,284,164,81,35,332,280
3536,4551,129,220,1563,1302,416,295,343,190,71,22,349,283
3537,5365,107,137,2445,1421,364,279,249,175,105,83,244,363
3538,4702,140,144,538,2018,591,408,424,243,137,59,284,439
3539,7090,179,139,3688,2199,497,145,99,89,36,19,318,144
3540,4366,98,151,1352,1156,427,339,392,275,133,43,249,451
3541,2907,77,114,438,768,271,221,366,344,237,71,191,652
3542,2907,153,412,122,314,321,392,518,389,189,97,565,675
3543,3346,215,415,223,620,547,395,377,215,189,150,630,554
3544,1647,100,200,92,310,238,238,244,143,56,26,300,225
3545,2236,94,138,188,625,297,239,301,222,98,34,232,354
3546,4538,330,579,277,978,658,558,494,281,200,183,909,664
3547,2509,116,208,248,733,353,277,265,165,107,37,324,309
3548,1903,81,143,172,573,266,227,244,106,66,25,224,197
3549,6058,461,844,540,1260,945,818,656,331,153,50,1305,534
3550,2689,117,269,173,702,381,305,330,211,142,59,386,412
