id,population,Household Population(1),Group Quarters Population(2),Population per Acre,Housing Units,Housing Units Per Acre
3521.01,1654,1638,16,17,1292,13
3521.02,2277,2251,26,23,1431,14
3522,1849,1847,2,51,1145,31
3523,3450,3440,10,23,2069,14
3524,2126,2126,0,18,818,7
3525,2894,2857,37,57,1267,25
3526,2378,2369,9,40,1055,18
3527,2057,2057,0,52,1016,26
3528,2115,2076,39,53,955,24
3529,2646,2636,10,36,1415,19
3530,3584,3514,70,43,2001,24
3531.01,2460,2043,417,24,1035,10
3531.02,5040,605,4435,23,327,1
3532,4897,3304,1593,39,1701,13
3533,3471,3445,26,30,1771,15
3534,2848,2848,0,39,1298,18
3535,2602,2602,0,50,1330,26
3536,4551,2912,1639,25,1568,9
3537,5365,3061,2304,40,1956,14
3538,4702,4596,106,62,2947,39
3539,7090,2595,4495,89,1519,19
3540,4366,3201,1165,38,2089,18
3541,2907,2577,330,20,1717,12
3542,2907,2896,11,7,1404,4
3543,3346,3253,93,11,1651,5
3544,1647,1643,4,23,802,11
3545,2236,2236,0,23,1291,13
3546,4538,4389,149,12,2192,6
3547,2509,2468,41,29,1207,14
3548,1903,1888,15,25,977,13
3549,6058,6040,18,20,2632,9
3550,2689,2647,42,24,1413,12
,105162,88060,17102,26,47291,12
